Wavelength (nm),Optical Density,Transmission (%)
1003,5.17453,6.69E-04
1002,5.18694,6.50E-04
1001,5.19935,6.32E-04
1000,5.22566,5.95E-04
999,5.25197,5.60E-04
998,5.23824,5.78E-04
997,5.22452,5.96E-04
996,5.19296,6.41E-04
995,5.16139,6.90E-04
994,5.15021,7.08E-04
993,5.13902,7.26E-04
992,5.10681,7.82E-04
991,5.0746,8.42E-04
990,5.09124,8.11E-04
989,5.10788,7.80E-04
988,5.14657,7.14E-04
987,5.18526,6.53E-04
986,5.21102,6.15E-04
985,5.23678,5.80E-04
984,5.12702,7.46E-04
983,5.21072,6.16E-04
982,5.24711,5.66E-04
981,5.29028,5.13E-04
980,5.33345,4.64E-04
979,5.31436,4.85E-04
978,5.0508,8.90E-04
977,5.28723,5.16E-04
976,5.30455,4.96E-04
975,5.3962,4.02E-04
974,5.47051,3.38E-04
973,5.04483,9.02E-04
972,5.37132,4.25E-04
971,5.19782,6.34E-04
970,5.33378,4.64E-04
969,5.15677,6.97E-04
968,5.39349,4.04E-04
967,5.13022,7.41E-04
966,6.81511,1.53E-05
965,7.04524,9.01E-06
964,5.09048,8.12E-04
963,5.43185,3.70E-04
962,5.2746,5.31E-04
961,5.11735,7.63E-04
960,5.07658,8.38E-04
959,5.03582,9.21E-04
958,5.26898,5.38E-04
957,5.03684,9.19E-04
956,5.4081,3.91E-04
955,5.27937,5.26E-04
954,5.11053,7.75E-04
953,5.02074,9.53E-04
952,5.00324,9.93E-04
951,5.00018,1.00E-03
950,5.00024,9.99E-04
949,5.0003,9.99E-04
948,5.00075,9.98E-04
947,5.002,9.95E-04
946,5.01934,9.56E-04
945,5.04957,8.92E-04
944,5.08253,8.27E-04
943,5.11549,7.67E-04
942,5.473,3.37E-04
941,5.83052,1.48E-04
940,6.67665,2.11E-05
939,6.92959,1.18E-05
938,5.35918,4.37E-04
937,5.2203,6.02E-04
936,5.34549,4.51E-04
935,5.24011,5.75E-04
934,5.13473,7.33E-04
933,5.29878,5.03E-04
932,5.31726,4.82E-04
931,5.35467,4.42E-04
930,5.04008,9.12E-04
929,5.36709,4.29E-04
928,5.08814,8.16E-04
927,5.21843,6.05E-04
926,5.34872,4.48E-04
925,5.38826,4.09E-04
924,5.15561,6.99E-04
923,5.16369,6.86E-04
922,5.43799,3.65E-04
921,5.1801,6.61E-04
920,5.03493,9.23E-04
919,5.24064,5.75E-04
918,5.44635,3.58E-04
917,5.00294,9.93E-04
916,5.06218,8.67E-04
915,5.31437,4.85E-04
914,5.06655,8.58E-04
913,5.33662,4.61E-04
912,5.0803,8.31E-04
911,5.07715,8.37E-04
910,5.074,8.43E-04
909,5.32402,4.74E-04
908,5.19805,6.34E-04
907,5.21673,6.07E-04
906,5.2354,5.82E-04
905,6.8677,1.36E-05
904,6.65407,2.22E-05
903,5.71114,1.94E-04
902,5.36436,4.32E-04
901,5.01757,9.60E-04
900,5.26694,5.41E-04
899,5.30563,4.95E-04
898,5.13561,7.32E-04
897,5.05205,8.87E-04
896,5.13497,7.33E-04
895,5.02026,9.54E-04
894,5.0635,8.64E-04
893,5.10674,7.82E-04
892,5.27958,5.25E-04
891,5.71164,1.94E-04
890,6.63379,2.32E-05
889,6.7608,1.73E-05
888,5.02159,9.51E-04
887,5.03474,9.23E-04
886,5.04789,8.96E-04
885,5.09949,7.95E-04
884,5.22798,5.92E-04
883,5.11284,7.71E-04
882,5.0197,9.56E-04
881,5.00425,9.90E-04
880,5.00017,1.00E-03
879,5.00176,9.96E-04
878,5.00336,9.92E-04
877,5.02468,9.45E-04
876,5.17029,6.76E-04
875,5.11705,7.64E-04
874,5.0638,8.63E-04
873,5.01095,9.75E-04
872,5.02313,9.48E-04
871,5.03531,9.22E-04
870,5.07076,8.50E-04
869,5.00954,9.78E-04
868,5.00154,9.96E-04
867,5.00028,9.99E-04
866,5.00021,1.00E-03
865,5.00015,1.00E-03
864,5.00033,9.99E-04
863,5.00771,9.82E-04
862,5.06874,8.54E-04
861,5.03647,9.19E-04
860,5.20303,6.27E-04
859,5.53176,2.94E-04
858,7.20735,6.20E-06
857,7.41125,3.88E-06
856,7.4057,3.93E-06
855,7.29962,5.02E-06
854,6.78303,1.65E-05
853,7.14321,7.19E-06
852,7.08029,8.31E-06
851,6.61525,2.43E-05
850,6.6155,2.42E-05
849,6.75815,1.75E-05
848,6.36679,4.30E-05
847,5.97542,1.06E-04
846,5.76119,1.73E-04
845,5.81725,1.52E-04
844,6.07409,8.43E-05
843,5.93085,1.17E-04
842,6.1816,6.58E-05
841,6.47087,3.38E-05
840,6.76013,1.74E-05
839,7.36437,4.32E-06
838,7.47725,3.33E-06
837,7.47103,3.38E-06
836,7.4648,3.43E-06
835,6.26767,5.40E-05
834,6.31784,4.81E-05
833,6.51131,3.08E-05
832,6.71628,1.92E-05
831,7.11361,7.70E-06
830,7.26769,5.40E-06
829,7.42178,3.79E-06
828,7.27841,5.27E-06
827,6.54014,2.88E-05
826,6.93835,1.15E-05
825,6.33586,4.61E-05
824,6.53976,2.89E-05
823,6.40459,3.94E-05
822,7.32823,4.70E-06
821,7.3778,4.19E-06
820,7.42737,3.74E-06
819,6.60288,2.50E-05
818,6.96067,1.09E-05
817,7.31846,4.80E-06
816,6.9038,1.25E-05
815,6.9383,1.15E-05
814,6.14232,7.21E-05
813,6.23179,5.86E-05
812,6.26083,5.48E-05
811,6.67542,2.11E-05
810,6.5263,2.98E-05
809,6.2035,6.26E-05
808,6.3008,5.00E-05
807,6.36346,4.33E-05
806,6.69015,2.04E-05
805,7.01683,9.62E-06
804,7.4138,3.86E-06
803,7.44991,3.55E-06
802,7.11312,7.71E-06
801,7.171,6.75E-06
800,6.20952,6.17E-05
799,6.36288,4.34E-05
798,6.61745,2.41E-05
797,6.8696,1.35E-05
796,7.31729,4.82E-06
795,7.06423,8.63E-06
794,6.81117,1.54E-05
793,7.23647,5.80E-06
792,7.41279,3.87E-06
791,6.34283,4.54E-05
790,6.44664,3.58E-05
789,6.47081,3.38E-05
788,6.34225,4.55E-05
787,6.59942,2.52E-05
786,6.25059,5.62E-05
785,6.01842,9.58E-05
784,5.80149,1.58E-04
783,5.74906,1.78E-04
782,5.86144,1.38E-04
781,5.89662,1.27E-04
780,6.04967,8.92E-05
779,6.35063,4.46E-05
778,6.48153,3.30E-05
777,6.51578,3.05E-05
776,6.55003,2.82E-05
775,7.23438,5.83E-06
774,6.97094,1.07E-05
773,7.01211,9.72E-06
772,6.78195,1.65E-05
771,7.05818,8.75E-06
770,6.4322,3.70E-05
769,6.85272,1.40E-05
768,7.27324,5.33E-06
767,7.01169,9.73E-06
766,6.89633,1.27E-05
765,6.78098,1.66E-05
764,7.23304,5.85E-06
763,7.04883,8.94E-06
762,6.86461,1.37E-05
761,6.47889,3.32E-05
760,6.83401,1.47E-05
759,6.57862,2.64E-05
758,6.64851,2.25E-05
757,6.3474,4.49E-05
756,6.14623,7.14E-05
755,6.61131,2.45E-05
754,6.39687,4.01E-05
753,6.31942,4.79E-05
752,6.26116,5.48E-05
751,6.29309,5.09E-05
750,6.46502,3.43E-05
749,6.64697,2.25E-05
748,6.75339,1.76E-05
747,7.05417,8.83E-06
746,7.10891,7.78E-06
745,7.16365,6.86E-06
744,6.86233,1.37E-05
743,7.24693,5.66E-06
742,7.23552,5.81E-06
741,6.83191,1.47E-05
740,6.77742,1.67E-05
739,6.20127,6.29E-05
738,6.33539,4.62E-05
737,6.5024,3.14E-05
736,6.80287,1.57E-05
735,7.30768,4.92E-06
734,7.40473,3.94E-06
733,7.04466,9.02E-06
732,6.68458,2.07E-05
731,6.66425,2.17E-05
730,6.62615,2.37E-05
729,6.54416,2.86E-05
728,6.48765,3.25E-05
727,6.29845,5.03E-05
726,6.37225,4.24E-05
725,6.8015,1.58E-05
724,7.40341,3.95E-06
723,7.48242,3.29E-06
722,7.45388,3.52E-06
721,7.42533,3.76E-06
720,6.85897,1.38E-05
719,6.78135,1.65E-05
718,6.70372,1.98E-05
717,6.42466,3.76E-05
716,6.32294,4.75E-05
715,6.42465,3.76E-05
714,6.58946,2.57E-05
713,6.60604,2.48E-05
712,6.58895,2.58E-05
711,7.15896,6.93E-06
710,7.30505,4.95E-06
709,6.49877,3.17E-05
708,6.60572,2.48E-05
707,7.10035,7.94E-06
706,7.37565,4.21E-06
705,7.46972,3.39E-06
704,7.40138,3.97E-06
703,6.79895,1.59E-05
702,6.72419,1.89E-05
701,6.96133,1.09E-05
700,7.30362,4.97E-06
699,6.68052,2.09E-05
698,6.70126,1.99E-05
697,6.58715,2.59E-05
696,6.06784,8.55E-05
695,5.76165,1.73E-04
694,5.70753,1.96E-04
693,5.81722,1.52E-04
692,6.07782,8.36E-05
691,6.48358,3.28E-05
690,6.62175,2.39E-05
689,6.47023,3.39E-05
688,6.39954,3.99E-05
687,6.2857,5.18E-05
686,6.13802,7.28E-05
685,6.06685,8.57E-05
684,6.03767,9.17E-05
683,6.19506,6.38E-05
682,6.44451,3.59E-05
681,6.67808,2.10E-05
680,6.82436,1.50E-05
679,6.85427,1.40E-05
678,6.79618,1.60E-05
677,6.92113,1.20E-05
676,7.32566,4.72E-06
675,7.35516,4.41E-06
674,6.99981,1.00E-05
673,6.65771,2.20E-05
672,6.55313,2.80E-05
671,6.22894,5.90E-05
670,6.13098,7.40E-05
669,6.25182,5.60E-05
668,6.44294,3.61E-05
667,6.61917,2.40E-05
666,6.99922,1.00E-05
665,6.99935,1.00E-05
664,6.85305,1.40E-05
663,6.60105,2.51E-05
662,6.48043,3.31E-05
661,6.85247,1.40E-05
660,6.82288,1.50E-05
659,6.44303,3.61E-05
658,6.39731,4.01E-05
657,6.49391,3.21E-05
656,6.85256,1.40E-05
655,7.07614,8.39E-06
654,7.29973,5.01E-06
653,7.09544,8.03E-06
652,6.69761,2.01E-05
651,6.60043,2.51E-05
650,6.79408,1.61E-05
649,6.71949,1.91E-05
648,6.59997,2.51E-05
647,6.53542,2.91E-05
646,6.3549,4.42E-05
645,6.46673,3.41E-05
644,6.8096,1.55E-05
643,7.15247,7.04E-06
642,6.95622,1.11E-05
641,6.85124,1.41E-05
640,6.99735,1.01E-05
639,7.04332,9.05E-06
638,6.91786,1.21E-05
637,6.6551,2.21E-05
636,6.53521,2.92E-05
635,6.30664,4.94E-05
634,6.30664,4.94E-05
633,6.63491,2.32E-05
632,7.21875,6.04E-06
631,7.42501,3.76E-06
630,7.48183,3.30E-06
629,7.46393,3.44E-06
628,7.44604,3.58E-06
627,6.79273,1.61E-05
626,6.71749,1.92E-05
625,7.00702,9.84E-06
624,7.29655,5.05E-06
623,7.15051,7.07E-06
622,7.45764,3.49E-06
621,7.38406,4.13E-06
620,6.9543,1.11E-05
619,6.7916,1.62E-05
618,6.58093,2.62E-05
617,6.53289,2.93E-05
616,6.76536,1.72E-05
615,6.74052,1.82E-05
614,6.81967,1.51E-05
613,6.88201,1.31E-05
612,6.91653,1.21E-05
611,7.03344,9.26E-06
610,7.15036,7.07E-06
609,6.4156,3.84E-05
608,6.39334,4.04E-05
607,6.49038,3.23E-05
606,6.79133,1.62E-05
605,6.84892,1.42E-05
604,6.59728,2.53E-05
603,6.15022,7.08E-05
602,6.02647,9.41E-05
601,6.02688,9.40E-05
600,6.10236,7.90E-05
599,6.14282,7.20E-05
598,6.09695,8.00E-05
597,6.33185,4.66E-05
596,6.76411,1.72E-05
595,6.61455,2.43E-05
594,6.26987,5.37E-05
593,6.23813,5.78E-05
592,6.30473,4.96E-05
591,6.13714,7.29E-05
590,6.23786,5.78E-05
589,6.35986,4.37E-05
588,6.25347,5.58E-05
587,6.27789,5.27E-05
586,6.81747,1.52E-05
585,7.03896,9.14E-06
584,7.09044,8.12E-06
583,7.14893,7.10E-06
582,6.76316,1.73E-05
581,6.42509,3.76E-05
580,6.61284,2.44E-05
579,6.51584,3.05E-05
578,6.34907,4.48E-05
577,6.56092,2.75E-05
576,7.21465,6.10E-06
575,7.24579,5.68E-06
574,7.27693,5.29E-06
573,7.03805,9.16E-06
572,6.61228,2.44E-05
571,6.73788,1.83E-05
570,6.29346,5.09E-05
569,6.06823,8.55E-05
568,6.26868,5.39E-05
567,6.84685,1.42E-05
566,7.34272,4.54E-06
565,7.37905,4.18E-06
564,7.41539,3.84E-06
563,6.99218,1.02E-05
562,7.4247,3.76E-06
561,7.4108,3.88E-06
560,7.3969,4.01E-06
559,7.29372,5.08E-06
558,6.71311,1.94E-05
557,6.84615,1.43E-05
556,6.8156,1.53E-05
555,6.81615,1.53E-05
554,6.91279,1.22E-05
553,7.30565,4.95E-06
552,7.31493,4.84E-06
551,7.32421,4.74E-06
550,6.94991,1.12E-05
549,6.99201,1.02E-05
548,7.19082,6.44E-06
547,7.38963,4.08E-06
546,7.29251,5.10E-06
545,7.46146,3.46E-06
544,7.46116,3.46E-06
543,7.46085,3.46E-06
542,7.29129,5.11E-06
541,6.81447,1.53E-05
540,6.87711,1.33E-05
539,7.44735,3.57E-06
538,7.49853,3.17E-06
537,7.49953,3.17E-06
536,7.49967,3.16E-06
535,7.49981,3.16E-06
534,7.49909,3.17E-06
533,7.49541,3.20E-06
532,7.43481,3.67E-06
531,6.9904,1.02E-05
530,7.14082,7.23E-06
529,7.29125,5.11E-06
528,7.49652,3.19E-06
527,7.49973,3.16E-06
526,7.49997,3.16E-06
525,7.5,3.16E-06
524,7.5,3.16E-06
523,7.5,3.16E-06
522,7.5,3.16E-06
521,7.5,3.16E-06
520,7.5,3.16E-06
519,7.49998,3.16E-06
518,7.49976,3.16E-06
517,7.48044,3.31E-06
516,6.94769,1.13E-05
515,7.48739,3.26E-06
514,7.49783,3.18E-06
513,7.49976,3.16E-06
512,7.49999,3.16E-06
511,7.49998,3.16E-06
510,7.49997,3.16E-06
509,7.49873,3.17E-06
508,7.48704,3.26E-06
507,7.28873,5.14E-06
506,7.4675,3.41E-06
505,7.49432,3.20E-06
504,7.49704,3.18E-06
503,7.49976,3.16E-06
502,7.49766,3.18E-06
501,7.14302,7.19E-06
500,6.81961,1.51E-05
499,6.49621,3.19E-05
498,6.22428,5.97E-05
497,6.62538,2.37E-05
496,7.20894,6.18E-06
495,7.03307,9.27E-06
494,6.90827,1.24E-05
493,6.78346,1.65E-05
492,6.68645,2.06E-05
491,7.03271,9.27E-06
490,6.94583,1.13E-05
489,6.66535,2.16E-05
488,7.28723,5.16E-06
487,6.90771,1.24E-05
486,7.41346,3.86E-06
485,7.39901,3.99E-06
484,7.38456,4.13E-06
483,6.81022,1.55E-05
482,6.84165,1.44E-05
481,6.87308,1.34E-05
480,7.12864,7.44E-06
479,7.38421,4.13E-06
478,7.26278,5.46E-06
477,7.14134,7.22E-06
476,7.47597,3.34E-06
475,7.49885,3.17E-06
474,7.49995,3.16E-06
473,7.5,3.16E-06
472,7.5,3.16E-06
471,7.5,3.16E-06
470,7.5,3.16E-06
469,7.49994,3.16E-06
468,7.44642,3.58E-06
467,6.56894,2.70E-05
466,6.57737,2.65E-05
465,6.5858,2.60E-05
464,7.02959,9.34E-06
463,7.11767,7.63E-06
462,7.20575,6.23E-06
461,7.3322,4.65E-06
460,7.45864,3.48E-06
459,7.32263,4.76E-06
458,6.66172,2.18E-05
457,6.72069,1.90E-05
456,6.77966,1.66E-05
455,7.24424,5.70E-06
454,7.3373,4.60E-06
453,7.02782,9.38E-06
452,7.39951,3.99E-06
451,7.39977,3.98E-06
450,7.0285,9.36E-06
449,7.20442,6.25E-06
448,7.38034,4.17E-06
447,7.49544,3.20E-06
446,7.49987,3.16E-06
445,7.49999,3.16E-06
444,7.5,3.16E-06
443,7.5,3.16E-06
442,7.5,3.16E-06
441,7.5,3.16E-06
440,7.49998,3.16E-06
439,7.49454,3.20E-06
438,7.37922,4.18E-06
437,7.3634,4.33E-06
436,7.34757,4.49E-06
435,6.80442,1.57E-05
434,7.23723,5.79E-06
433,7.28728,5.16E-06
432,6.93788,1.15E-05
431,6.97983,1.05E-05
430,7.47968,3.31E-06
429,7.12742,7.46E-06
428,6.77515,1.68E-05
427,6.89978,1.26E-05
426,7.02441,9.45E-06
425,7.27962,5.25E-06
424,7.47977,3.31E-06
423,7.4279,3.73E-06
422,7.37602,4.21E-06
421,7.06191,8.67E-06
420,6.7478,1.79E-05
419,7.43785,3.65E-06
418,7.49634,3.19E-06
417,7.49861,3.17E-06
416,7.4999,3.16E-06
415,7.49938,3.17E-06
414,7.46011,3.47E-06
413,6.86273,1.37E-05
412,6.59638,2.53E-05
411,6.24433,5.70E-05
410,6.63365,2.32E-05
409,7.21518,6.09E-06
408,7.45629,3.50E-06
407,7.2766,5.29E-06
406,7.4909,3.23E-06
405,7.4997,3.16E-06
404,7.5,3.16E-06
403,7.49999,3.16E-06
402,7.49998,3.16E-06
401,7.4999,3.16E-06
400,7.49849,3.17E-06
399,7.43506,3.67E-06
398,6.61191,2.44E-05
397,6.6957,2.02E-05
396,6.82789,1.49E-05
395,6.97359,1.06E-05
394,7.0219,9.51E-06
393,7.07021,8.51E-06
392,7.40024,3.98E-06
391,7.4768,3.34E-06
390,7.47897,3.32E-06
389,7.37646,4.20E-06
388,6.65004,2.24E-05
387,6.59153,2.56E-05
386,6.93066,1.17E-05
385,7.49465,3.20E-06
384,6.31814,4.81E-05
383,6.20814,6.19E-05
382,6.34776,4.49E-05
381,6.59055,2.57E-05
380,7.43839,3.64E-06
379,7.43387,3.68E-06
378,6.57247,2.68E-05
377,6.41364,3.86E-05
376,6.45207,3.53E-05
375,6.41372,3.86E-05
374,7.34974,4.47E-06
373,7.38918,4.08E-06
372,6.57149,2.68E-05
371,6.6072,2.47E-05
370,6.47689,3.34E-05
369,7.01396,9.68E-06
368,7.37203,4.25E-06
367,7.43164,3.70E-06
366,7.49124,3.23E-06
365,7.43871,3.64E-06
364,7.38617,4.11E-06
363,6.82138,1.51E-05
362,7.0649,8.61E-06
361,7.06478,8.61E-06
360,7.06466,8.62E-06
359,7.06429,8.62E-06
358,7.45959,3.47E-06
357,7.49781,3.18E-06
356,7.49947,3.17E-06
355,7.49937,3.17E-06
354,7.49928,3.17E-06
353,7.49743,3.18E-06
352,7.48168,3.30E-06
351,6.73569,1.84E-05
350,6.39726,4.01E-05
349,6.73461,1.84E-05
348,6.81884,1.52E-05
347,7.4818,3.30E-06
346,7.49869,3.17E-06
345,7.49998,3.16E-06
344,7.5,3.16E-06
343,7.5,3.16E-06
342,7.5,3.16E-06
341,7.5,3.16E-06
340,7.5,3.16E-06
339,7.5,3.16E-06
338,7.5,3.16E-06
337,7.49999,3.16E-06
336,7.49594,3.19E-06
335,7.2643,5.44E-06
334,7.3795,4.17E-06
333,7.4947,3.20E-06
332,7.43095,3.71E-06
331,7.0093,9.79E-06
330,6.96261,1.09E-05
329,7.47154,3.38E-06
328,7.49689,3.19E-06
327,7.49947,3.17E-06
326,7.49993,3.16E-06
325,7.49996,3.16E-06
324,7.49974,3.16E-06
323,7.49626,3.19E-06
322,7.45003,3.55E-06
321,6.84751,1.42E-05
320,7.39787,4.00E-06
319,7.49463,3.20E-06
318,7.49881,3.17E-06
317,7.49941,3.17E-06
316,7.5,3.16E-06
315,7.49699,3.18E-06
314,7.48149,3.30E-06
313,7.24272,5.72E-06
312,7.00396,9.91E-06
311,7.47646,3.34E-06
310,7.49981,3.16E-06
309,7.49999,3.16E-06
308,7.5,3.16E-06
307,7.5,3.16E-06
306,7.49998,3.16E-06
305,7.49992,3.16E-06
304,7.49707,3.18E-06
303,6.80952,1.55E-05
302,7.49442,3.20E-06
301,7.49804,3.18E-06
300,7.49528,3.20E-06
299,7.49252,3.22E-06
298,7.45789,3.48E-06
297,7.00003,1.00E-05
296,7.38788,4.09E-06
295,7.40718,3.92E-06
294,7.05147,8.88E-06
293,7.49495,3.20E-06
292,7.49957,3.17E-06
291,7.49942,3.17E-06
290,7.49927,3.17E-06
289,7.49816,3.18E-06
288,7.49042,3.23E-06
287,7.28172,5.23E-06
286,6.91142,1.23E-05
285,6.7761,1.67E-05
284,7.45142,3.54E-06
283,7.49946,3.17E-06
282,7.51879,3.03E-06
281,7.53722,2.90E-06
280,7.55566,2.78E-06
279,7.5715,2.68E-06
278,7.58733,2.59E-06
277,7.59911,2.52E-06
276,7.61088,2.45E-06
275,7.61749,2.41E-06
274,7.6241,2.38E-06
273,7.62491,2.37E-06
272,7.62572,2.37E-06
271,7.62061,2.40E-06
270,7.61551,2.42E-06
269,7.6049,2.48E-06
268,7.59429,2.55E-06
267,7.57906,2.64E-06
266,7.56383,2.73E-06
265,7.54529,2.85E-06
264,7.52675,2.97E-06
263,7.50647,3.12E-06
262,7.48619,3.26E-06
261,6.87189,1.34E-05
260,7.47831,3.32E-06
259,7.49953,3.17E-06
258,7.49997,3.16E-06
257,7.5,3.16E-06
256,7.5,3.16E-06
255,7.5,3.16E-06
254,7.5,3.16E-06
253,7.5,3.16E-06
252,7.5,3.16E-06
251,7.49998,3.16E-06
250,7.49974,3.16E-06
249,7.49659,3.19E-06
248,7.34699,4.50E-06
247,7.49951,3.17E-06
246,7.52213,3.01E-06
245,7.5387,2.89E-06
244,7.56549,2.72E-06
243,7.57465,2.66E-06
242,7.60342,2.49E-06
241,7.6044,2.49E-06
240,7.6328,2.33E-06
239,7.62549,2.37E-06
238,7.65118,2.23E-06
237,7.63615,2.31E-06
236,7.65703,2.20E-06
235,7.63547,2.31E-06
234,7.64981,2.24E-06
233,7.62344,2.38E-06
232,7.63006,2.34E-06
231,7.60098,2.51E-06
230,7.59932,2.52E-06
229,7.56986,2.69E-06
228,7.56002,2.75E-06
227,7.53255,2.93E-06
226,7.5153,3.05E-06
225,7.49201,3.22E-06
224,7.17078,6.75E-06
223,6.83452,1.46E-05
222,6.60569,2.48E-05
221,7.21482,6.10E-06
220,7.4921,3.22E-06
219,7.34508,4.52E-06
218,7.42805,3.73E-06
217,7.42805,3.73E-06
216,7.34509,4.52E-06
215,7.25718,5.53E-06
214,7.16927,6.77E-06
213,6.74324,1.81E-05
212,6.71642,1.92E-05
211,7.46936,3.39E-06
210,7.49526,3.20E-06
209,7.49233,3.22E-06
208,7.4894,3.24E-06
207,7.42634,3.75E-06
206,6.94756,1.13E-05
205,6.60502,2.48E-05
204,6.83361,1.47E-05
203,6.83411,1.47E-05
202,6.83462,1.46E-05
201,6.51855,3.03E-05
200,6.51855,3.03E-05
